ID	Name	Formula	Charge	Compartment
Kidney_biomass_maintenance_dummy_objective	Kidney_biomass_maintenance	X	0	c
Kidney_lipid_membrane[c]	Kidney_lipid_membrane	X	0	c
Kidney_proteome[c]	Kidney_proteome	X	0	c
Kidney_transcriptome[c]	Kidney_transcriptome	X	0	c
Brain_biomass_maintenance_dummy_objective	Brain_biomass_maintenance	X	0	c
Brain_lipid_membrane[c]	Brain_lipid_membrane	X	0	c
Brain_proteome[c]	Brain_proteome	X	0	c
Brain_transcriptome[c]	Brain_transcriptome	X	0	c
Lung_biomass_maintenance_dummy_objective	Lung_biomass_maintenance	X	0	c
Lung_lipid_membrane[c]	Lung_lipid_membrane	X	0	c
Lung_proteome[c]	Lung_proteome	X	0	c
Lung_transcriptome[c]	Lung_transcriptome	X	0	c
Skin_biomass_maintenance_dummy_objective	Skin_biomass_maintenance	X	0	c
Skin_lipid_membrane[c]	Skin_lipid_membrane	X	0	c
Skin_proteome[c]	Skin_proteome	X	0	c
Skin_transcriptome[c]	Skin_transcriptome	X	0	c
Heart_biomass_maintenance_dummy_objective	Heart_biomass_maintenance	X	0	c
Heart_lipid_membrane[c]	Heart_lipid_membrane	X	0	c
Heart_proteome[c]	Heart_proteome	X	0	c
Heart_transcriptome[c]	Heart_transcriptome	X	0	c
Muscle_biomass_maintenance_dummy_objective	Muscle_biomass_maintenance	X	0	c
Muscle_lipid_membrane[c]	Muscle_lipid_membrane	X	0	c
Muscle_proteome[c]	Muscle_proteome	X	0	c
Muscle_transcriptome[c]	Muscle_transcriptome	X	0	c
Liver_biomass_maintenance_dummy_objective	Liver_biomass_maintenance	X	0	c
Liver_lipid_membrane[c]	Liver_lipid_membrane	X	0	c
Liver_lipids[c]	Liver_lipids	X	0	c
Liver_proteome[c]	Liver_proteome	X	0	c
Liver_transcriptome[c]	Liver_transcriptome	X	0	c
MAM03161e	glycogen	C6H10O5	0	e
MAM02674e	palmitate	C16H31O2	-1	e
MAM02630e	O2	O2	0	e
MAM01596e	CO2	CO2	0	e
MAM02040e	H2O	H2O	0	e
MAM02403e	L-lactate	C3H5O3	-1	e
MAM01965e	glucose	C6H12O6	0	e
MAM00157e	(R)-3-hydroxybutanoate	C4H7O3	-1	e
MAM01253e	acetoacetate	C4H5O3	-1	e
MAM01256e	acetone	C3H6O	0	e
MAM03247e	3-Methylhistidine	C7H11N3O2	0	e
MAM00648e	2-hydroxybutyrate	C4H7O3	-1	e
MAM00775e	3-hydroxyanthranilate	C7H7NO3	0	e
MAM00784e	3-hydroxyisobutyrate	C4H7O3	-1	e
MAM01033e	4-pyridoxate	C8H9NO4	0	e
MAM01252e	acetate	C2H3O2	-1	e
MAM01580e	cis-aconitate	C6H3O6	-3	e
