ID	Name	GPR	Subsystem	Reaction	Reaction_eq	Lb	Ub	Mets_Coefficient	Metabolites	Coefficient	
Muscle_Htm			Transport reactions	Muscle_MAM02039i => Muscle_MAM02039m	H+ => H+	0	1000	"{'Muscle_MAM02039m': 1.0, 'Muscle_MAM02039i': -1.0}"	"['Muscle_MAM02039m', 'Muscle_MAM02039i']"	"[1.0, -1.0]"	PMID: 31699973
Muscle_MAR03964			Transport reactions	Muscle_MAM01371c + Muscle_MAM02040c => Muscle_MAM01285c + Muscle_MAM02039c + Muscle_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Muscle_MAM02039c': 1.0, 'Muscle_MAM01371c': -1.0, 'Muscle_MAM01285c': 1.0, 'Muscle_MAM02040c': -1.0, 'Muscle_MAM02751c': 1.0}"	"['Muscle_MAM02039c', 'Muscle_MAM01371c', 'Muscle_MAM01285c', 'Muscle_MAM02040c', 'Muscle_MAM02751c']"	"[1.0, -1.0, 1.0, -1.0, 1.0]"	PMID: 31699973
Muscle_EX_glycogen(e)_(c)			Transport reactions	Muscle_MAM03161c <=> Muscle_MAM03161e	glycogen <=> glycogen	-1000	1000	"{'Muscle_MAM03161e': 1.0, 'Muscle_MAM03161c': -1.0}"	"['Muscle_MAM03161e', 'Muscle_MAM03161c']"	"[1.0, -1.0]"	PMID: 31699973
Muscle_GlycogenPhosphorylase		ENSG00000068976		Muscle_MAM02751c + Muscle_MAM03161c => Muscle_MAM01967c	Pi + glycogen => glucose-1-phosphate	0	1000	"{'Muscle_MAM02751c': -1.0, 'Muscle_MAM01967c': 1.0, 'Muscle_MAM03161c': -1.0}"	"['Muscle_MAM02751c', 'Muscle_MAM01967c', 'Muscle_MAM03161c']"	"[-1.0, 1.0, -1.0]"	PMID: 31699973
Muscle_EX_palmitate(e)_(c)			Transport reactions	Muscle_MAM02674c <=> Muscle_MAM02674e	palmitate <=> palmitate	-1000	1000	"{'Muscle_MAM02674c': -1.0, 'Muscle_MAM02674e': 1.0}"	"['Muscle_MAM02674c', 'Muscle_MAM02674e']"	"[-1.0, 1.0]"	PMID: 31699973
Muscle_MAR04456		ENSG00000100412 or ENSG00000122729		Muscle_MAM01587m <=> Muscle_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Muscle_MAM02183m': 1.0, 'Muscle_MAM01587m': -1.0}"	"['Muscle_MAM02183m', 'Muscle_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Muscle_MAR04888			Transport reactions	Muscle_MAM02040c <=> Muscle_MAM02040m	H2O <=> H2O	-1000	1000	"{'Muscle_MAM02040m': 1.0, 'Muscle_MAM02040c': -1.0}"	"['Muscle_MAM02040m', 'Muscle_MAM02040c']"	"[1.0, -1.0]"	PMID: 31699973
DM_Muscle_MAM02642e	octanoic acid demand			Muscle_MAM02642e => 	octanoic acid => 	0	1000	{'Muscle_MAM02642e': -1.0}	['Muscle_MAM02642e']	[-1.0]	PMID: 31699973
Heart_MAR04898			Transport reactions	Heart_MAM02630c <=> Heart_MAM02630m	O2 <=> O2	-1000	1000	"{'Heart_MAM02630c': -1.0, 'Heart_MAM02630m': 1.0}"	"['Heart_MAM02630c', 'Heart_MAM02630m']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_MAR04922			Transport reactions	Heart_MAM01596c <=> Heart_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Heart_MAM01596c': -1.0, 'Heart_MAM01596m': 1.0}"	"['Heart_MAM01596c', 'Heart_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_MAR07638		ENSG00000102078 or ENSG00000109424 or ENSG00000153291 or ENSG00000175564 or ENSG00000175567	Transport reactions	Heart_MAM02039c => Heart_MAM02039m	H+ => H+	0	1000	"{'Heart_MAM02039c': -1.0, 'Heart_MAM02039m': 1.0}"	"['Heart_MAM02039c', 'Heart_MAM02039m']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_MAR04456		ENSG00000100412 or ENSG00000122729		Heart_MAM01587m <=> Heart_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Heart_MAM02183m': 1.0, 'Heart_MAM01587m': -1.0}"	"['Heart_MAM02183m', 'Heart_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Heart_MAR04888			Transport reactions	Heart_MAM02040c <=> Heart_MAM02040m	H2O <=> H2O	-1000	1000	"{'Heart_MAM02040m': 1.0, 'Heart_MAM02040c': -1.0}"	"['Heart_MAM02040m', 'Heart_MAM02040c']"	"[1.0, -1.0]"	PMID: 31699973
DM_Heart_MAM02642e				Heart_MAM02642e => 	octanoic acid => 	0	1000	{'Heart_MAM02642e': -1.0}	['Heart_MAM02642e']	[-1.0]	PMID: 31699973
Brain_MAR04919			Transport reactions	Brain_MAM01596c <=> Brain_MAM01596e	CO2 <=> CO2	-1000	1000	"{'Brain_MAM01596c': -1.0, 'Brain_MAM01596e': 1.0}"	"['Brain_MAM01596c', 'Brain_MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_MAR04898			Transport reactions	Brain_MAM02630c <=> Brain_MAM02630m	O2 <=> O2	-1000	1000	"{'Brain_MAM02630c': -1.0, 'Brain_MAM02630m': 1.0}"	"['Brain_MAM02630c', 'Brain_MAM02630m']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_MAR04922			Transport reactions	Brain_MAM01596c <=> Brain_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Brain_MAM01596c': -1.0, 'Brain_MAM01596m': 1.0}"	"['Brain_MAM01596c', 'Brain_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_MAR04456		ENSG00000100412 or ENSG00000122729		Brain_MAM01587m <=> Brain_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Brain_MAM02183m': 1.0, 'Brain_MAM01587m': -1.0}"	"['Brain_MAM02183m', 'Brain_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Brain_MAR04888			Transport reactions	Brain_MAM02040c <=> Brain_MAM02040m	H2O <=> H2O	-1000	1000	"{'Brain_MAM02040m': 1.0, 'Brain_MAM02040c': -1.0}"	"['Brain_MAM02040m', 'Brain_MAM02040c']"	"[1.0, -1.0]"	PMID: 31699973
DM_Brain_MAM02642e				Brain_MAM02642e => 	octanoic acid => 	0	1000	{'Brain_MAM02642e': -1.0}	['Brain_MAM02642e']	[-1.0]	PMID: 31699973
Lung_MAR04919			Transport reactions	Lung_MAM01596c <=> Lung_MAM01596e	CO2 <=> CO2	-1000	1000	"{'Lung_MAM01596c': -1.0, 'Lung_MAM01596e': 1.0}"	"['Lung_MAM01596c', 'Lung_MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_MAR04922			Transport reactions	Lung_MAM01596c <=> Lung_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Lung_MAM01596c': -1.0, 'Lung_MAM01596m': 1.0}"	"['Lung_MAM01596c', 'Lung_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_MAR04456		ENSG00000100412 or ENSG00000122729		Lung_MAM01587m <=> Lung_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Lung_MAM02183m': 1.0, 'Lung_MAM01587m': -1.0}"	"['Lung_MAM02183m', 'Lung_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Lung_MAR04888			Transport reactions	Lung_MAM02040c <=> Lung_MAM02040m	H2O <=> H2O	-1000	1000	"{'Lung_MAM02040c': -1.0, 'Lung_MAM02040m': 1.0}"	"['Lung_MAM02040c', 'Lung_MAM02040m']"	"[-1.0, 1.0]"	PMID: 31699973
DM_Lung_MAM02642e				Lung_MAM02642e => 	octanoic acid => 	0	1000	{'Lung_MAM02642e': -1.0}	['Lung_MAM02642e']	[-1.0]	PMID: 31699973
Liver_MAR03957		ENSG00000067829 and ENSG00000101365 and ENSG00000166411	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Liver_MAM02183m + Liver_MAM02552m => Liver_MAM01306m + Liver_MAM01596m + Liver_MAM02553m	isocitrate + NAD+ => AKG + CO2 + NADH	0	1000	"{'Liver_MAM02552m': -1.0, 'Liver_MAM02553m': 1.0, 'Liver_MAM01596m': 1.0, 'Liver_MAM01306m': 1.0, 'Liver_MAM02183m': -1.0}"	"['Liver_MAM02552m', 'Liver_MAM02553m', 'Liver_MAM01596m', 'Liver_MAM01306m', 'Liver_MAM02183m']"	"[-1.0, 1.0, 1.0, 1.0, -1.0]"	PMID: 31699973
Liver_MAR04919			Transport reactions	Liver_MAM01596c <=> Liver_MAM01596e	CO2 <=> CO2	-1000	1000	"{'Liver_MAM01596c': -1.0, 'Liver_MAM01596e': 1.0}"	"['Liver_MAM01596c', 'Liver_MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_MAR04922			Transport reactions	Liver_MAM01596c <=> Liver_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Liver_MAM01596c': -1.0, 'Liver_MAM01596m': 1.0}"	"['Liver_MAM01596c', 'Liver_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_MAR07638		ENSG00000102078 or ENSG00000109424 or ENSG00000153291 or ENSG00000175564 or ENSG00000175567	Transport reactions	Liver_MAM02039c => Liver_MAM02039m	H+ => H+	0	1000	"{'Liver_MAM02039c': -1.0, 'Liver_MAM02039m': 1.0}"	"['Liver_MAM02039c', 'Liver_MAM02039m']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_MAR04456		ENSG00000100412 or ENSG00000122729		Liver_MAM01587m <=> Liver_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Liver_MAM02183m': 1.0, 'Liver_MAM01587m': -1.0}"	"['Liver_MAM02183m', 'Liver_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Liver_MAR03949			Transport reactions	Liver_MAM02439m + Liver_MAM02633c => Liver_MAM02439c + Liver_MAM02633m	malate + OAA => malate + OAA	0	1000	"{'Liver_MAM02633c': -1.0, 'Liver_MAM02633m': 1.0, 'Liver_MAM02439c': 1.0, 'Liver_MAM02439m': -1.0}"	"['Liver_MAM02633c', 'Liver_MAM02633m', 'Liver_MAM02439c', 'Liver_MAM02439m']"	"[-1.0, 1.0, 1.0, -1.0]"	PMID: 31699973
Liver_MAR04888			Transport reactions	Liver_MAM02040c <=> Liver_MAM02040m	H2O <=> H2O	-1000	1000	"{'Liver_MAM02040m': 1.0, 'Liver_MAM02040c': -1.0}"	"['Liver_MAM02040m', 'Liver_MAM02040c']"	"[1.0, -1.0]"	PMID: 31699973
DM_Liver_MAM02642e				Liver_MAM02642e => 	octanoic acid => 	0	1000	{'Liver_MAM02642e': -1.0}	['Liver_MAM02642e']	[-1.0]	PMID: 31699973
Kidney_MAR03957		ENSG00000067829 and ENSG00000101365 and ENSG00000166411	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Kidney_MAM02183m + Kidney_MAM02552m => Kidney_MAM01306m + Kidney_MAM01596m + Kidney_MAM02553m	isocitrate + NAD+ => AKG + CO2 + NADH	0	1000	"{'Kidney_MAM02552m': -1.0, 'Kidney_MAM02553m': 1.0, 'Kidney_MAM01596m': 1.0, 'Kidney_MAM01306m': 1.0, 'Kidney_MAM02183m': -1.0}"	"['Kidney_MAM02552m', 'Kidney_MAM02553m', 'Kidney_MAM01596m', 'Kidney_MAM01306m', 'Kidney_MAM02183m']"	"[-1.0, 1.0, 1.0, 1.0, -1.0]"	PMID: 31699973
Kidney_MAR04919			Transport reactions	Kidney_MAM01596c <=> Kidney_MAM01596e	CO2 <=> CO2	-1000	1000	"{'Kidney_MAM01596c': -1.0, 'Kidney_MAM01596e': 1.0}"	"['Kidney_MAM01596c', 'Kidney_MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_MAR04898			Transport reactions	Kidney_MAM02630c <=> Kidney_MAM02630m	O2 <=> O2	-1000	1000	"{'Kidney_MAM02630c': -1.0, 'Kidney_MAM02630m': 1.0}"	"['Kidney_MAM02630c', 'Kidney_MAM02630m']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_MAR04922			Transport reactions	Kidney_MAM01596c <=> Kidney_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Kidney_MAM01596c': -1.0, 'Kidney_MAM01596m': 1.0}"	"['Kidney_MAM01596c', 'Kidney_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_MAR04456		ENSG00000100412 or ENSG00000122729		Kidney_MAM01587m <=> Kidney_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Kidney_MAM02183m': 1.0, 'Kidney_MAM01587m': -1.0}"	"['Kidney_MAM02183m', 'Kidney_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Kidney_MAR04888			Transport reactions	Kidney_MAM02040c <=> Kidney_MAM02040m	H2O <=> H2O	-1000	1000	"{'Kidney_MAM02040m': 1.0, 'Kidney_MAM02040c': -1.0}"	"['Kidney_MAM02040m', 'Kidney_MAM02040c']"	"[1.0, -1.0]"	PMID: 31699973
DM_Kidney_MAM02642e				Kidney_MAM02642e => 	octanoic acid => 	0	1000	{'Kidney_MAM02642e': -1.0}	['Kidney_MAM02642e']	[-1.0]	PMID: 31699973
Skin_MAR06921		ENSG00000004779 and ENSG00000023228 and ENSG00000065518 and ENSG00000090266 and ENSG00000099795 and ENSG00000109390 and ENSG00000110717 and ENSG00000115286 and ENSG00000119013 and ENSG00000119421 and ENSG00000125356 and ENSG00000128609 and ENSG00000130414 and ENSG00000131495 and ENSG00000136521 and ENSG00000139180 and ENSG00000140990 and ENSG00000145494 and ENSG00000147123 and ENSG00000147684 and ENSG00000151366 and ENSG00000158864 and ENSG00000160194 and ENSG00000164258 and ENSG00000165264 and ENSG00000166136 and ENSG00000167792 and ENSG00000168653 and ENSG00000170906 and ENSG00000174886 and ENSG00000178127 and ENSG00000183648 and ENSG00000184752 and ENSG00000184983 and ENSG00000186010 and ENSG00000189043 and ENSG00000198695 and ENSG00000198763 and ENSG00000198786 and ENSG00000198840 and ENSG00000198886 and ENSG00000198888 and ENSG00000212907 and ENSG00000213619 and ENSG00000267855	Oxidative phosphorylation	5.0 Skin_MAM02039m + Skin_MAM02553m + Skin_MAM03103m => 4.0 Skin_MAM02039i + Skin_MAM02552m + Skin_MAM03102m	5.0 H+ + NADH + ubiquinone => 4.0 H+ + NAD+ + ubiquinol	0	1000	"{'Skin_MAM02039m': -5.0, 'Skin_MAM02552m': 1.0, 'Skin_MAM02553m': -1.0, 'Skin_MAM03102m': 1.0, 'Skin_MAM03103m': -1.0, 'Skin_MAM02039i': 4.0}"	"['Skin_MAM02039m', 'Skin_MAM02552m', 'Skin_MAM02553m', 'Skin_MAM03102m', 'Skin_MAM03103m', 'Skin_MAM02039i']"	"[-5.0, 1.0, -1.0, 1.0, -1.0, 4.0]"	PMID: 31699973
Skin_MAR04919			Transport reactions	Skin_MAM01596c <=> Skin_MAM01596e	CO2 <=> CO2	-1000	1000	"{'Skin_MAM01596c': -1.0, 'Skin_MAM01596e': 1.0}"	"['Skin_MAM01596c', 'Skin_MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Skin_MAR04922			Transport reactions	Skin_MAM01596c <=> Skin_MAM01596m	CO2 <=> CO2	-1000	1000	"{'Skin_MAM01596c': -1.0, 'Skin_MAM01596m': 1.0}"	"['Skin_MAM01596c', 'Skin_MAM01596m']"	"[-1.0, 1.0]"	PMID: 31699973
Skin_MAR04456		ENSG00000100412 or ENSG00000122729		Skin_MAM01587m <=> Skin_MAM02183m	citrate <=> isocitrate	-1000	1000	"{'Skin_MAM02183m': 1.0, 'Skin_MAM01587m': -1.0}"	"['Skin_MAM02183m', 'Skin_MAM01587m']"	"[1.0, -1.0]"	PMID: 31699973
Skin_MAR04888			Transport reactions	Skin_MAM02040c <=> Skin_MAM02040m	H2O <=> H2O	-1000	1000	"{'Skin_MAM02040c': -1.0, 'Skin_MAM02040m': 1.0}"	"['Skin_MAM02040c', 'Skin_MAM02040m']"	"[-1.0, 1.0]"	PMID: 31699973
DM_Skin_MAM02642e				Skin_MAM02642e => 	octanoic acid => 	0	1000	{'Skin_MAM02642e': -1.0}	['Skin_MAM02642e']	[-1.0]	PMID: 31699973
Heart_MAR03964			Transport reactions	Heart_MAM01371c + Heart_MAM02040c => Heart_MAM01285c + Heart_MAM02039c + Heart_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Heart_MAM02039c': 1.0, 'Heart_MAM01371c': -1.0, 'Heart_MAM01285c': 1.0, 'Heart_MAM02040c': -1.0, 'Heart_MAM02751c': 1.0}"	"['Heart_MAM02039c', 'Heart_MAM01371c', 'Heart_MAM01285c', 'Heart_MAM02040c', 'Heart_MAM02751c']"	"[1.0, -1.0, 1.0, -1.0, 1.0]"	PMID: 31699973
Brain_MAR03964			Transport reactions	Brain_MAM01371c + Brain_MAM02040c => Brain_MAM01285c + Brain_MAM02039c + Brain_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Brain_MAM02039c': 1.0, 'Brain_MAM01371c': -1.0, 'Brain_MAM01285c': 1.0, 'Brain_MAM02040c': -1.0, 'Brain_MAM02751c': 1.0}"	"['Brain_MAM02039c', 'Brain_MAM01371c', 'Brain_MAM01285c', 'Brain_MAM02040c', 'Brain_MAM02751c']"	"[1.0, -1.0, 1.0, -1.0, 1.0]"	PMID: 31699973
Lung_MAR03964			Transport reactions	Lung_MAM01371c + Lung_MAM02040c => Lung_MAM01285c + Lung_MAM02039c + Lung_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Lung_MAM02039c': 1.0, 'Lung_MAM01371c': -1.0, 'Lung_MAM02040c': -1.0, 'Lung_MAM01285c': 1.0, 'Lung_MAM02751c': 1.0}"	"['Lung_MAM02039c', 'Lung_MAM01371c', 'Lung_MAM02040c', 'Lung_MAM01285c', 'Lung_MAM02751c']"	"[1.0, -1.0, -1.0, 1.0, 1.0]"	PMID: 31699973
Liver_MAR03964			Transport reactions	Liver_MAM01371c + Liver_MAM02040c => Liver_MAM01285c + Liver_MAM02039c + Liver_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Liver_MAM02039c': 1.0, 'Liver_MAM01371c': -1.0, 'Liver_MAM01285c': 1.0, 'Liver_MAM02040c': -1.0, 'Liver_MAM02751c': 1.0}"	"['Liver_MAM02039c', 'Liver_MAM01371c', 'Liver_MAM01285c', 'Liver_MAM02040c', 'Liver_MAM02751c']"	"[1.0, -1.0, 1.0, -1.0, 1.0]"	PMID: 31699973
Kidney_MAR03964			Transport reactions	Kidney_MAM01371c + Kidney_MAM02040c => Kidney_MAM01285c + Kidney_MAM02039c + Kidney_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Kidney_MAM02039c': 1.0, 'Kidney_MAM01371c': -1.0, 'Kidney_MAM01285c': 1.0, 'Kidney_MAM02040c': -1.0, 'Kidney_MAM02751c': 1.0}"	"['Kidney_MAM02039c', 'Kidney_MAM01371c', 'Kidney_MAM01285c', 'Kidney_MAM02040c', 'Kidney_MAM02751c']"	"[1.0, -1.0, 1.0, -1.0, 1.0]"	PMID: 31699973
Skin_MAR03964			Transport reactions	Skin_MAM01371c + Skin_MAM02040c => Skin_MAM01285c + Skin_MAM02039c + Skin_MAM02751c	ATP + H2O => ADP + H+ + Pi	0	1000	"{'Skin_MAM02039c': 1.0, 'Skin_MAM01371c': -1.0, 'Skin_MAM02040c': -1.0, 'Skin_MAM01285c': 1.0, 'Skin_MAM02751c': 1.0}"	"['Skin_MAM02039c', 'Skin_MAM01371c', 'Skin_MAM02040c', 'Skin_MAM01285c', 'Skin_MAM02751c']"	"[1.0, -1.0, -1.0, 1.0, 1.0]"	PMID: 31699973
Heart_Exchange_glycogen			Exchange/demand reactions	Heart_MAM03161e <=> MAM03161e	glycogen <=> glycogen	-1000	1000	"{'Heart_MAM03161e': -1.0, 'MAM03161e': 1.0}"	"['Heart_MAM03161e', 'MAM03161e']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_Exchange_palmitate			Exchange/demand reactions	Heart_MAM02674e <=> MAM02674e	palmitate <=> palmitate	-1000	1000	"{'Heart_MAM02674e': -1.0, 'MAM02674e': 1.0}"	"['Heart_MAM02674e', 'MAM02674e']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_Exchange_O2			Exchange/demand reactions	Heart_MAM02630e <=> MAM02630e	O2 <=> O2	-1000	1000	"{'Heart_MAM02630e': -1.0, 'MAM02630e': 1.0}"	"['Heart_MAM02630e', 'MAM02630e']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_Exchange_CO2			Exchange/demand reactions	Heart_MAM01596e <=> MAM01596e	CO2 <=> CO2	-1000	1000	"{'Heart_MAM01596e': -1.0, 'MAM01596e': 1.0}"	"['Heart_MAM01596e', 'MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_Exchange_H2O			Exchange/demand reactions	Heart_MAM02040e <=> MAM02040e	H2O <=> H2O	-1000	1000	"{'Heart_MAM02040e': -1.0, 'MAM02040e': 1.0}"	"['Heart_MAM02040e', 'MAM02040e']"	"[-1.0, 1.0]"	PMID: 31699973
Heart_Exchange_Lac			Exchange/demand reactions	Heart_MAM02403e <=> MAM02403e	L-lactate <=> L-lactate	-1000	1000	"{'Heart_MAM02403e': -1.0, 'MAM02403e': 1.0}"	"['Heart_MAM02403e', 'MAM02403e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_Exchange_glycogen			Exchange/demand reactions	Brain_MAM03161e <=> MAM03161e	glycogen <=> glycogen	-1000	1000	"{'Brain_MAM03161e': -1.0, 'MAM03161e': 1.0}"	"['Brain_MAM03161e', 'MAM03161e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_Exchange_O2			Exchange/demand reactions	Brain_MAM02630e <=> MAM02630e	O2 <=> O2	-1000	1000	"{'Brain_MAM02630e': -1.0, 'MAM02630e': 1.0}"	"['Brain_MAM02630e', 'MAM02630e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_Exchange_CO2			Exchange/demand reactions	Brain_MAM01596e <=> MAM01596e	CO2 <=> CO2	-1000	1000	"{'Brain_MAM01596e': -1.0, 'MAM01596e': 1.0}"	"['Brain_MAM01596e', 'MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_Exchange_H2O			Exchange/demand reactions	Brain_MAM02040e <=> MAM02040e	H2O <=> H2O	-1000	1000	"{'Brain_MAM02040e': -1.0, 'MAM02040e': 1.0}"	"['Brain_MAM02040e', 'MAM02040e']"	"[-1.0, 1.0]"	PMID: 31699973
Brain_Exchange_Lac			Exchange/demand reactions	Brain_MAM02403e <=> MAM02403e	L-lactate <=> L-lactate	-1000	1000	"{'Brain_MAM02403e': -1.0, 'MAM02403e': 1.0}"	"['Brain_MAM02403e', 'MAM02403e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_glycogen			Exchange/demand reactions	Lung_MAM03161e <=> MAM03161e	glycogen <=> glycogen	-1000	1000	"{'Lung_MAM03161e': -1.0, 'MAM03161e': 1.0}"	"['Lung_MAM03161e', 'MAM03161e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_palmitate			Exchange/demand reactions	Lung_MAM02674e <=> MAM02674e	palmitate <=> palmitate	-1000	1000	"{'Lung_MAM02674e': -1.0, 'MAM02674e': 1.0}"	"['Lung_MAM02674e', 'MAM02674e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_O2			Exchange/demand reactions	Lung_MAM02630e <=> MAM02630e	O2 <=> O2	-1000	1000	"{'Lung_MAM02630e': -1.0, 'MAM02630e': 1.0}"	"['Lung_MAM02630e', 'MAM02630e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_CO2			Exchange/demand reactions	Lung_MAM01596e <=> MAM01596e	CO2 <=> CO2	-1000	1000	"{'Lung_MAM01596e': -1.0, 'MAM01596e': 1.0}"	"['Lung_MAM01596e', 'MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_H2O			Exchange/demand reactions	Lung_MAM02040e <=> MAM02040e	H2O <=> H2O	-1000	1000	"{'Lung_MAM02040e': -1.0, 'MAM02040e': 1.0}"	"['Lung_MAM02040e', 'MAM02040e']"	"[-1.0, 1.0]"	PMID: 31699973
Lung_Exchange_Lac			Exchange/demand reactions	Lung_MAM02403e <=> MAM02403e	L-lactate <=> L-lactate	-1000	1000	"{'Lung_MAM02403e': -1.0, 'MAM02403e': 1.0}"	"['Lung_MAM02403e', 'MAM02403e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_Exchange_palmitate			Exchange/demand reactions	Liver_MAM02674e <=> MAM02674e	palmitate <=> palmitate	-1000	1000	"{'Liver_MAM02674e': -1.0, 'MAM02674e': 1.0}"	"['Liver_MAM02674e', 'MAM02674e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_Exchange_O2			Exchange/demand reactions	Liver_MAM02630e <=> MAM02630e	O2 <=> O2	-1000	1000	"{'Liver_MAM02630e': -1.0, 'MAM02630e': 1.0}"	"['Liver_MAM02630e', 'MAM02630e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_Exchange_CO2			Exchange/demand reactions	Liver_MAM01596e <=> MAM01596e	CO2 <=> CO2	-1000	1000	"{'Liver_MAM01596e': -1.0, 'MAM01596e': 1.0}"	"['Liver_MAM01596e', 'MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_Exchange_H2O			Exchange/demand reactions	Liver_MAM02040e <=> MAM02040e	H2O <=> H2O	-1000	1000	"{'Liver_MAM02040e': -1.0, 'MAM02040e': 1.0}"	"['Liver_MAM02040e', 'MAM02040e']"	"[-1.0, 1.0]"	PMID: 31699973
Liver_Exchange_Lac			Exchange/demand reactions	Liver_MAM02403e <=> MAM02403e	L-lactate <=> L-lactate	-1000	1000	"{'Liver_MAM02403e': -1.0, 'MAM02403e': 1.0}"	"['Liver_MAM02403e', 'MAM02403e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_Exchange_glycogen			Exchange/demand reactions	Kidney_MAM03161e <=> MAM03161e	glycogen <=> glycogen	-1000	1000	"{'Kidney_MAM03161e': -1.0, 'MAM03161e': 1.0}"	"['Kidney_MAM03161e', 'MAM03161e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_Exchange_palmitate			Exchange/demand reactions	Kidney_MAM02674e <=> MAM02674e	palmitate <=> palmitate	-1000	1000	"{'Kidney_MAM02674e': -1.0, 'MAM02674e': 1.0}"	"['Kidney_MAM02674e', 'MAM02674e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_Exchange_O2			Exchange/demand reactions	Kidney_MAM02630e <=> MAM02630e	O2 <=> O2	-1000	1000	"{'Kidney_MAM02630e': -1.0, 'MAM02630e': 1.0}"	"['Kidney_MAM02630e', 'MAM02630e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_Exchange_CO2			Exchange/demand reactions	Kidney_MAM01596e <=> MAM01596e	CO2 <=> CO2	-1000	1000	"{'Kidney_MAM01596e': -1.0, 'MAM01596e': 1.0}"	"['Kidney_MAM01596e', 'MAM01596e']"	"[-1.0, 1.0]"	PMID: 31699973
Kidney_Exchange_H2O			Exchange/demand reactions	Kidney_MAM02040e <=> MAM02040e	H2O <=> H2O	-1000	1000	"{'Kidney_MAM02040e': -1.0, 'MAM02040e': 1.0}"	"['Kidney_MAM02040e', 'MAM02040e']"	"[-1.0, 1.0]"	PMID: 31699973
