Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000059573	MAM02658	decrease	0.0	0.0
ENSG00000171759	MAM02137	decrease	0.0	0.0
ENSG00000177156	MAM01690	decrease	3.2705	0.0
ENSG00000038002	MAM02513	increase	No_result	No_result
ENSG00000128928	MAM02646	increase	0.0	0
ENSG00000140459	MAM01615	decrease	-1.0	1
ENSG00000140459	MAM01069	decrease	-1.0	1
ENSG00000091140	MAM02046	decrease	0.0	0
ENSG00000189221	MAM03099	increase	27.9875	1
ENSG00000153574	MAM02425	decrease	253.9344	0
ENSG00000091140	MAM02184	increase	0.0	0
ENSG00000161653	MAM02659	increase	94.5784	1
ENSG00000140459	MAM02969	decrease	-1.0	1
ENSG00000138079;ENSG00000021488	MAM02426	increase	0.0	0
ENSG00000248098	MAM03176	increase	19.2007	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02676	increase	-0.0	0
ENSG00000115919	MAM02667	increase	9.5016	1
ENSG00000128928	MAM01197	increase	0.0	0
ENSG00000103150	MAM02440	increase	No_result	No_result
ENSG00000008311	MAM02426	increase	82.7597	1
ENSG00000158125	MAM03120	decrease	-1.0	1
ENSG00000125454	MAM01307	increase	0.0	0
ENSG00000092621	MAM02896	decrease	No_result	No_result
ENSG00000124615	MAM02133	decrease	-0.0	0
ENSG00000178445	MAM01986	increase	341.5318	1
ENSG00000109929	MAM02805	decrease	No_result	No_result
ENSG00000128928	MAM02564	increase	-0.0	0
ENSG00000124615	MAM03120	decrease	0.0	0
ENSG00000140459	MAM00971	increase	-1.0	0
ENSG00000134240	MAM02348	increase	-0.0	0
ENSG00000127948	MAM01660	decrease	0.0	0
ENSG00000103507	MAM01998	decrease	-0.0	0
ENSG00000101846	MAM01659	increase	2348.8377	1
ENSG00000144182	MAM02770	increase	0.0	0
ENSG00000159650	MAM03124	decrease	10.2606	0
ENSG00000091483	MAM01003	decrease	0.0	0
ENSG00000197249	MAM01988	increase	0.0	0
ENSG00000134240	MAM00157	decrease	0.0898	0
ENSG00000189221	MAM03136	decrease	-1.0	1
ENSG00000103876	MAM03101	increase	29.5195	1
ENSG00000198805	MAM02170	increase	0.2223	1
ENSG00000052802	MAM01450	decrease	12.7894	0
ENSG00000197375	MAM01388	decrease	-0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02635	increase	0.0	0
ENSG00000178537	MAM03408	increase	-0.0	0
ENSG00000124253	MAM01588	decrease	-0.0	0
ENSG00000134240	MAM01450	decrease	1.0999	0
ENSG00000178814	MAM01127	increase	638.719	1
ENSG00000136872	MAM03120	increase	0.4398	1
ENSG00000070915	MAM02482	decrease	No_result	No_result
